Course By,Course Name,Course Type,Course Certification,Course Tags
UDEMY,Complete Python Bootcamp: Go from zero to hero in Python 3,Intermediate,Certification,GitGithubJupyter NotebookLinuxData Structures
UDEMY,The Python Bible? | Everything You Need to Program in Python,Beginner,Certification,Data StructuresObject Oriented ProgrammingOopsData ScienceWeb Development
Besant Technologies,Python online training course,Expert,Certification,Machine LearningData SciencePython DevelopmentSqlCrud
UDEMY,Easy Python Programming Beginners Pro Python SQL MySQL Mongo,Not Specified,Not Specified,MysqlTkinterPyqtPycharmSql
Alison,Advanced Diploma in Python Programming for the Novice to Expert,Not Specified,Diploma,NumpyPandasJupyter NotebookSoftware DevelopmentData Structures
UDEMY,The Python Bible? | Everything You Need to Program in Python,Beginner,Certification,Data StructuresData ScienceObject Oriented ProgrammingOopsWeb Development
UDEMY,"Basics of Python & arcpy , the Python library of ESRI ArcGIS",Intermediate,Certification,EsriArcgisGisArc MapDocumentation Tools
UDEMY,Python Programming - From Basics to Advanced level,Not Specified,Not Specified,Web ScrapingJsonObject Oriented ProgrammingOopsXml
UDEMY,Python for Machine Learning & Data Science Masterclass,Not Specified,Not Specified,SeabornMachine LearningNumpySqlMatplotlib
UDEMY,Python Complete Masterclass for Beginners,Not Specified,Not Specified,Web ScrapingNetwork AutomationData AnalysisNetworkingAutomation
UDEMY,Complete Python Developer in 2023: Zero to Mastery,Not Specified,Not Specified,PycharmJupyter NotebookMachine LearningLinuxOops
UDEMY,100 Days of Code - The Complete Python Pro Bootcamp,Not Specified,Not Specified,Machine LearningMatplotlibData SciencePycharmFlask
UDEMY,Python for beginners - Learn all the basics of python,Beginner,Certification,ProgrammingDealingUtilityLoopEncryption
UDEMY,Python Programming Complete Beginners Course Bootcamp,Not Specified,Not Specified,PycharmOopsObject Oriented ProgrammingProgrammingCasting
IIT Madras | Guvi,Python with IIT Certification,Not Specified,Not Specified,MysqlJsonDebuggingPicklingProgramming
